"probeID" "BETA" "SE" "P_VAL"
"1" "cg13869341" -0.00361320731718984 0.0072692219720302 0.619149860263424
"2" "cg24669183" -0.0038678401563305 0.0250445662797431 0.877264159509751
"3" "cg15560884" 0.00947630226500416 0.0134751688488345 0.481905061326349
"4" "cg01014490" -0.000346379844766816 0.000768898154223498 0.652358180125655
"5" "cg17505339" 0.00331553401670269 0.00165653822625429 0.0453403043340309
"6" "cg11954957" 0.0198552689386223 0.0188836248309447 0.293049978060828
"7" "cg16736630" 0.000534915711649412 0.00999952531020593 0.95733822309184
"8" "cg05898754" -0.00432492368766951 0.0136027873623366 0.750527468076565
"9" "cg03128332" -0.00190611712034938 0.00378323000198724 0.614378550326695
"10" "cg16619049" -0.0371139852089035 0.0142974750626877 0.00943594649193204
"11" "cg05475702" 9.29040326759725e-06 0.0116211842667601 0.999362141725738
"12" "cg18147296" 0.00391728075548645 0.00712229365777669 0.582317520379603
"13" "cg05597748" -0.0110511672671315 0.0118859646851191 0.352492191650907
"14" "cg10988531" 0.0214384513085303 0.00915543765691672 0.0192008403427409
"15" "cg13938959" 0.0133730746372364 0.0213844047179319 0.531731025279525
"16" "cg12445832" 0.0128394558368546 0.0164472385339607 0.43501127028274
"17" "cg23999112" 0.012084637611332 0.0290381495504225 0.677289871106865
"18" "cg11527153" -0.00401283646737611 0.00364241885009965 0.270594072650261
"19" "cg04195702" -0.0202225397501018 0.0106181707019046 0.0568422336455877
"20" "cg08128007" 0.0283019653348625 0.0228837426416286 0.216171850547342
"21" "cg23733394" -0.00924656727578228 0.0157607177193176 0.557415684372789
"22" "cg13371836" -0.000582261365604166 0.000614765168975712 0.343573508177435
"23" "cg04407431" -0.000683705269735849 0.000398093376889158 0.0858970745746423
"24" "cg13565718" 0.00405819699020409 0.00260133896594498 0.118750051945376
"25" "cg01097950" -0.00486296174139993 0.0141791622006888 0.731624505621655
"26" "cg08900511" 0.000807488264105678 0.0101189727768233 0.936396777333842
"27" "cg04410003" 0.00371168999301982 0.0266074272936334 0.889056425396846
"28" "cg04364728" 0.00793724280386321 0.012048141990424 0.510028106078268
"29" "cg05151709" 0.00922805758263278 0.0115107062182323 0.422730315553299
"30" "cg08546707" 0.0118394632464474 0.0125921991654528 0.347103676387111
"31" "cg06154531" 0.0353847464761443 0.0164359453565972 0.0313274964015616
"32" "cg01782097" 0.0158969017569862 0.010546820621984 0.131741574822804
"33" "cg20825023" 0.0121972450032159 0.00832597315064468 0.142930934162905
"34" "cg12549180" 0.00605587054827888 0.00860352714727047 0.481506069916501
"35" "cg11851804" -0.000842871421962459 0.0089295220302426 0.924798128247288
"36" "cg06623778" 0.01396343514799 0.0140784193833963 0.3212791973755
"37" "cg14528386" 0.00389293330224935 0.0142287704539069 0.784395182769078
"38" "cg17436295" 0.0116687693720828 0.00885115343809753 0.187392134107269
"39" "cg18865112" 0.0173249967690931 0.0112083921150628 0.122173047589897
"40" "cg19642727" 0.0218505303818729 0.0131827776287492 0.0974172572015421
"41" "cg21407818" 0.0225066869139612 0.0159890936649849 0.159241419062812
"42" "cg22226438" 0.00392379187338002 0.022174929411037 0.859549856077097
"43" "cg08029603" 0.0115122243318536 0.0149489432328171 0.441238863984285
"44" "cg16347928" 0.0107660704360715 0.00997666188740865 0.280531776630154
"45" "cg22699361" 0.0015774514897436 0.0118893083831338 0.894447920604883
"46" "cg03890988" 0.0053027137670009 0.00683556783914785 0.437894709298507
"47" "cg21786289" 0.00209521956363902 0.0061344194825861 0.732688516822659
"48" "cg13897241" 0.0232628135701251 0.0143947840001616 0.106081657713585
"49" "cg13176867" 0.0128580689556674 0.0100514695372124 0.200818610877841
"50" "cg15105996" 0.00275844824450813 0.00532415983106243 0.60438836448973
"51" "cg02565062" 0.0104513198637828 0.00708274708587518 0.140050612490204
"52" "cg09856436" 0.00167468952280654 0.00715287320186988 0.814885432642241
"53" "cg19159092" 0.00438709619684953 0.00859832020553737 0.609892351044169
"54" "cg08132177" -0.00226124826518306 0.00152172721434401 0.137285791521244
"55" "cg27050229" -0.0050386578122857 0.00555317340178156 0.364223081007652
"56" "cg06931612" 0.00832324960989638 0.00533901372194681 0.119008473348628
"57" "cg11407801" 0.00904036501455613 0.00727150207240893 0.213772173422795
"58" "cg01197763" 0.0115643183115747 0.00904599961022613 0.201111836426759
"59" "cg01980454" -0.0015282170135025 0.00159657396862565 0.338473773165569
"60" "cg16352085" -0.00204586676373382 0.0018408711063122 0.266414298838726
"61" "cg04839849" -0.00120562609589969 0.00142627761651621 0.397945855347397
"62" "cg03725447" -0.00127907989600852 0.00373305308346379 0.731872009311023
"63" "cg25215298" -0.00978504955438369 0.011228258846066 0.38349958115733
"64" "cg04672450" -0.00173462415295207 0.00171945329038372 0.313059493302591
"65" "cg27487046" -0.00020926636912538 0.000698804744617644 0.764586576523775
"66" "cg06091566" -0.00462525847046638 0.00657121752166875 0.481516048914231
"67" "cg03735847" -4.5080570496131e-05 0.000567914773184655 0.936731082264583
"68" "cg03180780" -0.000960129569673809 0.000575835875295296 0.0954415088893467
"69" "cg09166659" 0.000139509120524789 0.00126404652069852 0.912118261804614
"70" "cg05527507" -0.000585952949693481 0.00247328091490695 0.812724112531213
"71" "cg14324200" -0.00260033243711458 0.00193972584428773 0.180061080662406
"72" "cg13856810" -0.0129544676285622 0.0102460636990384 0.206109438209417
"73" "cg02896266" -0.000732374309876776 0.00951188419906463 0.938626955041393
"74" "cg13806162" 0.00755239954331277 0.0119088956776726 0.525962477059844
"75" "cg23225454" 0.0178528139876375 0.0109823502936119 0.10403660981052
"76" "cg00976181" 0.0136977273283169 0.0141215987502407 0.332054379717441
"77" "cg10711230" -0.00727681907114011 0.0142454566530758 0.609479320174484
"78" "cg00145911" 0.0254358622820187 0.0118261863998998 0.031491317585757
"79" "cg06531475" -0.00248708907589084 0.0168112189012514 0.882388366612531
"80" "cg14156792" 0.0260983256607733 0.0143095909495054 0.0681770963592511
"81" "cg24997886" 0.0242897234058536 0.0140472966447624 0.0837842851551109
"82" "cg01727431" 0.0116707712350105 0.0100405968518516 0.245089948354039
"83" "cg10146935" 0.00254118168076875 0.00407035288757242 0.532420844895091
"84" "cg02439789" -0.000433691438057053 0.00316464361035566 0.890997010512585
"85" "cg24362661" -0.00253327109206306 0.00810042098952061 0.754483321608584
"86" "cg05819296" 0.00535360972036095 0.0100023130193805 0.592485866115058
"87" "cg00582671" 0.00539799058067676 0.0192115777816169 0.77872887562616
"88" "cg22485363" 0.00273537281729362 0.0130389094844837 0.83383517008678
"89" "cg06036236" 0.0109587233253383 0.0109074024654249 0.315038852215513
"90" "cg13904806" 0.0118403900309937 0.00939474442772328 0.20755372788805
"91" "cg03269716" 0.00489756169215439 0.00882680967698855 0.57899677249447
"92" "cg04121631" 0.000162691863906702 0.00458817354079367 0.971713770634132
"93" "cg23440882" 0.000389657307799341 0.00179090927274477 0.82776016802606
"94" "cg23112672" -0.00227146334814525 0.00160561375788456 0.157156188513979
"95" "cg15896339" -0.00208090656722862 0.00102122498022494 0.0415842142305525
"96" "cg12454161" 0.0054302267322372 0.00777353145571325 0.484831182505298
"97" "cg09180262" -0.00125116176134733 0.00225672949880292 0.579295749235013
"98" "cg24045482" -0.0014130315491101 0.00195117332653271 0.46894553010371
"99" "cg09988062" -0.000187481417069532 0.000892688558102959 0.833652967337841
"100" "cg22416074" -0.000814625285491339 0.0019859136706993 0.681657948984169
"101" "cg19724344" 0.00119588239065188 0.00261783573634423 0.647799696131626
"102" "cg06838427" -0.00166383905626406 0.0017629282621786 0.345275524527889
"103" "cg10827460" 0.00223662314919276 0.00129084232107044 0.0831516689973109
"104" "cg15742605" 0.000507109579042416 0.00112304198076925 0.651593214686878
"105" "cg09756115" 0.00277218804145249 0.00909420912564572 0.760495608631057
"106" "cg23731742" 0.00855314256382106 0.0115305793749661 0.458221197401368
"107" "cg06511482" -0.000403756931406653 0.00666808862492188 0.951717097149019
"108" "cg17153432" 0.00416721086191556 0.00622991418700243 0.503557092965349
"109" "cg00113194" 0.00358356412082847 0.00515432623882114 0.486896356960553
"110" "cg02968844" 0.0042796263672796 0.00465717984016896 0.358131726971363
"111" "cg16248916" 0.00269669127843512 0.00114553399537976 0.0185680644103027
"112" "cg20322444" -0.000964515772634353 0.00584184106257433 0.86886152567899
"113" "cg11733071" 2.01358041739122e-05 0.00290022386642393 0.994460455834308
"114" "cg01394461" 0.00238011640660132 0.00873569150931627 0.785269232652695
"115" "cg09555360" 0.00114971960943204 0.00534264628345418 0.82961399870519
"116" "cg07701223" 0.00278740501061381 0.00232119424631791 0.229809576364188
"117" "cg13060902" 0.0071485534601512 0.00859149193191778 0.405380551899786
"118" "cg21830050" 0.00711510737105607 0.00410844212585665 0.0833045267006011
"119" "cg15684274" 0.0235918813516639 0.00784285555461114 0.00262910051947512
"120" "cg16005420" 0.0317844641115676 0.00956014932495775 0.000885191798831322
"121" "cg20453388" 0.00722179301663561 0.00500653202424204 0.149168659436557
"122" "cg24664590" -0.000552826794583523 0.000417910232570534 0.185889847497061
"123" "cg08472719" -0.000250607282054949 0.000659042118433353 0.703752507899607
"124" "cg03161767" -0.000404606313676198 0.00084514087557889 0.632120599539947
"125" "cg10207527" -0.00130592221571442 0.00138586838307261 0.346032258504611
"126" "cg04485075" -0.00127527585195797 0.00081454563781515 0.117435617656088
"127" "cg16389252" -0.0005779820992636 0.000819324868658235 0.480538308413735
"128" "cg22114309" -0.00513528444179258 0.0092320898812926 0.578044816237607
"129" "cg11132698" -0.000408419484572545 0.000997466459862536 0.682204419503034
"130" "cg09789536" -0.00267177898994159 0.0178519854400824 0.881030620683141
