"probeID" "BETA" "SE" "P_VAL"
"1" "cg13869341" -0.000787055776376575 0.00607588249057976 0.89693220466398
"2" "cg24669183" 0.000335112828859359 0.0102982983583064 0.97404093739324
"3" "cg15560884" -0.00891487314208655 0.00609651314602998 0.143661625859093
"4" "cg01014490" 0.000105127583920627 0.000380159953619473 0.782137077852707
"5" "cg17505339" 0.00115733877412028 0.00126489077127635 0.360206688499583
"6" "cg11954957" -0.00951627723679756 0.0111234532594924 0.392266296894615
"7" "cg16736630" -0.00906394509312715 0.00934344041062139 0.332003394236385
"8" "cg05898754" -0.0127147252756085 0.00653012431774791 0.0515242115171227
"9" "cg03128332" 0.000776542616832546 0.00474600045429197 0.870029963674425
"10" "cg16619049" -0.00971651712473285 0.0125367927056036 0.43831596228074
"11" "cg05475702" -0.0128007382265229 0.00708734199340814 0.0708963340379789
"12" "cg18147296" -0.00270791487837302 0.0059736346504583 0.65032474299876
"13" "cg05597748" 0.00262681195017551 0.00807476478905431 0.744945505720438
"14" "cg10988531" 0.0107334109063637 0.00532163061568304 0.0437017505615382
"15" "cg13938959" 0.00467914796013789 0.0128220331888045 0.715163462326549
"16" "cg12445832" -0.00928653149236272 0.0128430418413845 0.469631463111374
"17" "cg23999112" -0.0137208289587351 0.0147481647600698 0.352194324052567
"18" "cg11527153" -0.0017922851091373 0.00258142719575265 0.487494040690635
"19" "cg04195702" -0.00789319989963634 0.00851103270160173 0.353714733453026
"20" "cg08128007" 0.00654396824532375 0.0150909488864011 0.664553291975747
"21" "cg23733394" -0.017800670633492 0.00976678607547997 0.0683682426983604
"22" "cg13371836" 0.000505172089361904 0.000337608626581418 0.134569090456393
"23" "cg04407431" 8.97181419183299e-05 0.000329246027266055 0.785240861529665
"24" "cg13565718" 0.00452217189340125 0.00233209022379074 0.0524883410151798
"25" "cg01097950" -0.00153516742529245 0.00941214767384418 0.870435840134423
"26" "cg08900511" 0.0034543815755914 0.00714466308032378 0.628747021586731
"27" "cg04410003" 0.00154272470735861 0.015459953899514 0.920512284486366
"28" "cg12726839" -0.00781967883672239 0.0135991492591889 0.5652829414538
"29" "cg04364728" -0.00529981379905214 0.0071563047214264 0.458948337594042
"30" "cg05151709" 0.00293831171136345 0.00702376506324573 0.675699606042447
"31" "cg08546707" 0.00231426319032782 0.00769193933796067 0.763514678211665
"32" "cg06154531" 0.00550621935854776 0.0101689952127029 0.58818275391578
"33" "cg01782097" 0.0121430610279972 0.00802707290526392 0.130339802669386
"34" "cg20825023" 0.0115498888598666 0.00597575551781927 0.0532619004773186
"35" "cg12549180" 0.00135411478595505 0.00480958766483159 0.778292509655999
"36" "cg11851804" -0.00484056186200296 0.00409088460270604 0.236707888108324
