"probeID" "BETA" "SE" "P_VAL"
"1" "cg13869341" -0.00406182037161877 0.00760240488742142 0.593147145925611
"2" "cg24669183" -0.00323363131152214 0.0206977510608389 0.875850905511677
"3" "cg15560884" 0.0110622399050726 0.0151894346140474 0.466439041165212
"4" "cg01014490" -0.000494774446594707 0.000750477785106947 0.509716451425011
"5" "cg17505339" 0.00352695017866443 0.00190839690276021 0.0645847050993837
"6" "cg11954957" 0.0173550857290724 0.0221683145439425 0.433698758382301
"7" "cg16736630" -0.00258096206458826 0.00944577139870184 0.784668775564371
"8" "cg05898754" -0.00508496914413976 0.0136759046268756 0.710027182867879
"9" "cg03128332" -0.00322487264376676 0.0039612997630633 0.415590773960799
"10" "cg16619049" -0.0373591392018315 0.0136493332946261 0.00619896737109921
"11" "cg05475702" -0.00154906076720168 0.0136019077603842 0.909328519248535
"12" "cg18147296" 0.00326729679790007 0.00790905597110653 0.679527256477087
"13" "cg05597748" -0.0141171083867709 0.0139005778681572 0.30983082031484
"14" "cg10988531" 0.019619251819586 0.00869208824655376 0.023999387392067
"15" "cg13938959" 0.0154120043785122 0.0204127814041558 0.450238564518493
"16" "cg12445832" 0.0161301994238971 0.0147648711622894 0.274625956045387
"17" "cg23999112" 0.0155819346171351 0.0308491077192382 0.613487456033342
"18" "cg11527153" -0.00397243960828972 0.00385946523428951 0.303351863840344
"19" "cg04195702" -0.0259842576141208 0.0116977381962051 0.0263302336607112
"20" "cg08128007" 0.0240546988527768 0.0224124190020067 0.283147551534375
"21" "cg23733394" -0.0158697339049156 0.0137049223006636 0.246880893991599
"22" "cg13371836" -0.000562151754687063 0.000566556209165331 0.321087332094596
"23" "cg04407431" -0.000778194796342727 0.00041023444886915 0.0578343577478392
"24" "cg13565718" 0.00213065012248881 0.00280254033668658 0.447101147127939
"25" "cg01097950" -0.00734962474447967 0.0168625428867846 0.662941888207607
"26" "cg08900511" -0.0007973849041041 0.010787410290941 0.94107555120861
"27" "cg04410003" -0.000455523647022274 0.0249828686886512 0.985452625492454
"28" "cg04364728" 0.00484188406699082 0.0113514241926477 0.669711353204108
"29" "cg05151709" 0.00586301415358816 0.0123905399381617 0.636081399175616
"30" "cg08546707" 0.00802410568249121 0.0130609370901932 0.538978050195541
"31" "cg06154531" 0.0280333935153054 0.0167896496576617 0.0949820882760795
"32" "cg01782097" 0.0117521503009502 0.0110351664388271 0.286888312526522
"33" "cg20825023" 0.00948385703698151 0.00886756337012333 0.284844529785232
"34" "cg12549180" 0.00481224972939442 0.00838044060212761 0.565816262425153
"35" "cg11851804" -0.00142510853257955 0.00839442197610186 0.865192190766327
"36" "cg06623778" 0.00986803644647069 0.01458395875268 0.498636717460733
"37" "cg14528386" 0.000267471093959393 0.0157820330048582 0.986478241402141
"38" "cg17436295" 0.00782364511378161 0.00854296561534105 0.359771975255486
"39" "cg18865112" 0.0170359761184532 0.0102607395124957 0.0968527380113156
"40" "cg19642727" 0.016583160715229 0.0119622034289219 0.165656385939122
"41" "cg21407818" 0.0187866277640982 0.013555539831029 0.165777325653038
"42" "cg22226438" -0.00281982312004309 0.0243770986721103 0.907910047790185
"43" "cg08029603" 0.00369282916650446 0.0199095294362715 0.852852185778271
"44" "cg16347928" 0.00652955850959671 0.011754151959569 0.578545316250549
"45" "cg22699361" 0.00102617786420513 0.00946400762225951 0.91365498053327
"46" "cg03890988" 0.00705374484187339 0.007502156107695 0.347100102160275
"47" "cg21786289" 0.00503024143280201 0.0065510545208778 0.442575015771583
"48" "cg13897241" 0.0203902770317857 0.0153538652401007 0.184170705614974
"49" "cg13176867" 0.0123418250397334 0.0119366309181197 0.301161673035463
"50" "cg15105996" 0.00318645383342388 0.00629510988095165 0.612730838671728
